Username, PREMIUM?, Current Stars, Team, Day 1 Action, Day 2 Action, Notes
superbelch, , 1, Florida, Florida, FIU, , 
tacobellemel, , 3, Florida, Florida, FIU, , 
TaylorLeprechaun, , 4, Florida, UCF, UCF, , 
TBSportsFan1254, , 1, Florida, N/A, USF, , 
tcalhoon, , 1, Florida, N/A, USF, , 
techy_tim, , 1, Florida, Florida, USF, , 
Teej0403, , 2, Florida, N/A, FIU, , 
TheDudeFromThere, , 2, Florida, Georgia Southern, Florida State, , 
Thegatorone, , 1, Florida, Florida, UCF, , 
thehammersuit, , 1, Florida, N/A, USF, , 
thesakeofglory, , -1, UF, N/A, N/A, No participation, 
Tiddilion, , 1, Florida, N/A, USF, , 
timetogetswifty, , 1, Florida, USF, USF, , 
tjwork, , 1, Florida, N/A, USF, , 
toms47, , 3, Florida, Florida, UCF, , 
TopheryG8er, , 5, Florida, Florida, FIU, , 
Trichome, , 2, Florida, Florida, FIU, , 
tripsd, , 4, Florida, Florida, UCF, , 
tumbleweed7, , 1, Florida, N/A, USF, , 
Turbulent_Swine, , 1, Florida, N/A, USF, , 
TWW2, , 2, Florida, Florida, FIU, , 
TXDoubleGator, , 1, Florida, Florida, UCF, , 
u8evol19i, , 1, Florida, N/A, FAU, , 
ufgatorengineer11, , 1, Florida, Florida, USF, , 
UFJerkStore, , 1, Florida, N/A, USF, , 
Useless_as_RCTL, , 2, Florida, N/A, FAU, , 
Valkron77, , 3, Florida, N/A, UCF, , 
WelcomeToMoes, , 2, Florida, UCF, UCF, , 
WhiteThunder69, , 3, Florida, Florida, UCF, , 
work1313, , 1, Florida, N/A, USF, , 
Wrenispinkle23, , 1, Florida, N/A, FIU, , 
WuTangGraham, , 1, Florida, UCF, N/A, , 
Yep_itsaname, , 1, Florida, N/A, FIU, , 
Zet_the_Arc_Warden, , 1, Florida, N/A, UCF, , 
zeusapollo2990, , 2, Florida, N/A, FAU, , 
zlatandiego, , 4, Florida, UCF, Florida, , 
_ooze_, , 3, Florida, Florida, FIU, , 
